first_name,last_name,dob,ssn_last4,phone,address,facility_id,medical_record_number,import_date
John,Smith,1950-03-15,1234,555-0100,123 Main St,FAC001,MRN001,2025-10-24
John,Smith,1950-03-15,1234,555-0100,123 Main Street,FAC001,MRN045,2025-10-24
Jon,Smith,1950-03-15,,555-0100,123 Main St,FAC002,MRN078,2025-10-24
John,Smyth,1950-03-15,1234,,123 Main St,FAC001,MRN001,2025-10-24
Jane,Doe,1965-07-22,5678,555-0200,456 Oak Ave,FAC001,MRN002,2025-10-24
Jane,Doe,1965-07-22,5678,555-0201,456 Oak Avenue,FAC003,MRN133,2025-10-24
Bob,Johnson,1978-11-30,9012,555-0300,789 Pine Road,FAC002,MRN155,2025-10-24
Mary,Williams,1982-05-18,,555-0400,321 Elm St,FAC001,MRN004,2025-10-24
Maria,Williams,1982-05-18,3456,555-0400,321 Elm Street,FAC004,MRN004,2025-10-24
John,Smith,1950-03-15,9999,555-0500,789 Oak St,FAC003,MRN200,2025-10-24
Elizabeth,Chen,1992-08-03,7890,555-0600,234 Maple Dr,FAC001,MRN005,2025-10-24
Liz,Chen,1992-08-03,7890,555-0600,234 Maple Dr,FAC001,MRN005,2025-10-24
Michael,Brown,1955-12-25,,555-0700,567 Birch Ln,FAC002,MRN006,2025-10-24
Michael,Brown,1955-12-26,4567,555-0700,567 Birch Ln,FAC002,MRN006,2025-10-24
Sarah,Davis,1988-04-10,2345,555-0800,890 Cedar St,FAC003,MRN007,2025-10-24
Sarah,Davis,1988-04-10,2345,555-0800,890 Cedar St,FAC003,MRN007,2025-10-24
James,Wilson,1970-06-15,6789,,456 Spruce Ave,FAC001,MRN008,2025-10-24
James,M Wilson,1970-06-15,6789,,456 Spruce Ave,FAC001,MRN008,2025-10-24
Robert,Johnson II,1978-11-30,9012,555-0300,789 Pine Rd,FAC003,MRN008,2025-10-24
Robert,Johnson,,9011,,789 Pine Rd,FAC002,MRN003,2025-10-24
Robert,Johnson,1930-10-22,9011,,789 Pine Rd,FAC002,MRN003,2025-10-25
